Dag      Dato  		|             Timar            	|	Grunn
			|				|	
Torsdag 10.08.17	|		3t		|	Intervju
Torsdag 24.08.17	|		1t		|	Blogg
Fredag  25.08.17	|		1t		|	Blogg
Laurdag 26.08.17 	|		2t		|	Lesing
Torsdag 31.08.17        |               1t		|	Blogg
Fredag  01.09.17	| 		1t		|	Blogg
Laurdag 02.09.17	|		2t		|	Lesing
Torsdag 07.09.17	| 		1t		|	Blogg
Onsdag  13.09.17	|		3t		|	Blogg og rapport
Torsdag 14.09.17 	|		3t		|	Blogg og rapport
Fredag  15.09.17 	|		1t		|	Blogg
Torsdag 21.09.17 	| 		1t		|	Blogg
Fredag	22.09.17 	| 		1t		|	Blogg
Torsdag 28.09.17 	|		1t		|	Blogg
Fredag  13.10.17 	| 		1t		|	Blogg
Torsdag	19.10.17	|		1t		|	Blogg
Fredag 	20.10.17	| 		1t		|	Blogg
Fredag  03.11.17 	|		1t		|	Blogg
Fredag  10.11.17 	|        	1t		|	Blogg
Fredag  17.11.17	|		1t		|	Blogg
Onsdag  22.11.17        |               1t		|	Blogg
Mandag  11.12.17        |               1t		|	Blogg
Onsdag  13.12.17        |               1t		|	Blogg
Fredag  15.12.17	| 		4t		|	Sluttrapport
Laurdag 16.12.17 	|		5t		|	Sluttrapport
Torsdag 14.12.17        |               4t		|	Sluttrapport
S�dnag 17.12.17 	|		5t		|	Sluttraport og framføring
Mandag  18.12.17	| 		4t		|	Framføring
Tirsdag 19.12.17	|		2t		|	Framføring
